firstName,lastName,nickname,nationality,age,birthDate,birthCountry,birthCity,position,foot,image,heightCm,weightKg,goals,ownGoals,penaltyGoals,assists,teamId,clubId,id,type
Sammy,Ndjock,S. Ndjock,Cameroon,24,1990-02-25T00:00:00.000Z,France,Yaounde,Goalkeeper,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/148630.png,,,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,824F8C33-05F6-4538-A106-AB9292D619BF,445CB56C-B38C-4C7D-BD22-69AD38860949,Player
Vangelis,Moras,V. Moras,Greece,32,1981-08-26T00:00:00.000Z,Greece,Larissa,Defender,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19243.png,193,78,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,,01FBDB24-7E99-4C29-8646-22EF0BD8DF46,Player
Dany Achille,Nounkeu Tchounkeu,D. Nounkeu,Cameroon,28,1986-04-11T00:00:00.000Z,Cameroon,Yaoundé,Defender,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/87782.png,184,85,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,24320D79-EF7A-4BFC-BEAC-D9A23A97A6DD,28557DF1-666F-4AF2-82A5-7C7B354A1473,Player
Samuel,Eto'o Fils,S. Eto'o,Cameroon,33,1981-03-10T00:00:00.000Z,Cameroon,N'kon,Attacker,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2994.png,180,75,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,89D41A76-F98F-46E2-8EC7-4223F8C02E91,B8C37813-5BAF-4D8D-A255-6C6232699DF3,Player
Giorgios,Karagounis,G. Karagounis,Greece,37,1977-03-06T00:00:00.000Z,Greece,Pyrgos,Midfielder,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5909.png,176,74,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,E91D09DA-0BCD-4766-9FFC-547DCAD39788,388F1583-22DA-4BF1-8312-3B2423D41DE4,Player
Lazaros,Christodoulopoulos,L. Christodoulopoulos,Greece,27,1986-12-19T00:00:00.000Z,Greece,Thessaloniki,Midfielder,Both,http://cache.images.globalsportsmedia.com/soccer/players/150x150/18891.png,183,77,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,,F0CDDEE8-AFD8-4CAB-B3A7-14A366F58261,Player
Panagiotis Giorgios,Kone,P. Kone,Greece,26,1987-07-26T00:00:00.000Z,Albania,Tirana,Midfielder,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19283.png,182,74,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,,2AF70DAD-B43D-4B46-B3CC-A99DA526F172,Player
Konstantinos,Katsouranis,K. Katsouranis,Greece,34,1979-06-21T00:00:00.000Z,Greece,Patras,Midfielder,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5927.png,183,81,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,9A9765EA-9D3B-44F6-BB4C-9315FBD08BFB,79BE5352-C658-45A4-B7D2-374947AD78EC,Player
Ioannis,Fetfatzidis,I. Fetfatzidis,Greece,23,1990-12-21T00:00:00.000Z,Greece,Athens,Midfielder,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/103765.png,168,64,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,0B956C2B-ECE4-48DA-AD67-FE50DB6EB2DF,DF9B5CEF-AB0E-499E-80F2-ACA7F63ED915,Player
Konstantinos,Mitroglou,K. Mitroglou,Greece,26,1988-03-12T00:00:00.000Z,Greece,Kavala,Attacker,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19125.png,188,86,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,E91D09DA-0BCD-4766-9FFC-547DCAD39788,9141EC7A-6D9B-4DD4-89F9-4D667F9746FE,Player
Sokratis,Papastathopoulos,S. Papastathopoulos,Greece,26,1988-06-09T00:00:00.000Z,Greece,Kalamata,Defender,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19278.png,185,85,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,D2B1EC98-32D1-44C1-8572-EB278A55E461,7BCD6C89-11D3-47FC-AFDE-779FB0647221,Player
Alexandros,Tziolis,A. Tziolis,Greece,29,1985-02-13T00:00:00.000Z,Greece,Katerini,Midfielder,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19140.png,189,84,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,90450527-9D42-4A5E-A284-BD8F5D56FEE5,5B75A6AA-BE81-4799-B06C-40A452872828,Player
Georgios,Tzavellas,G. Tzavellas,Greece,26,1987-11-26T00:00:00.000Z,Greece,Vyronas,Defender,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/45734.png,183,80,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,9A9765EA-9D3B-44F6-BB4C-9315FBD08BFB,43EBA04D-D47F-4F81-A4FB-FFEF51A17A40,Player
Edgard Nicaise Constant,Salli,E. Salli,Cameroon,21,1992-08-17T00:00:00.000Z,Cameroon,Garoua,Attacker,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/172906.png,163,64,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,44448998-7F81-4C2F-B2B6-7B299124F2CC,CE0EB57C-B511-4B2E-95FB-2DDF76A427A3,Player
Sereso Geoffroy,Gonzaroua Die,G. Serey Die,Côte d'Ivoire,29,1984-11-07T00:00:00.000Z,Côte d'Ivoire,Facobly,Midfielder,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/33894.png,179,77,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,EA1CAAB3-1BBB-4C16-AF44-9C3A3DDBC447,DC07A1BA-8487-4A5B-AB5F-D502C9E143E6,Player
Orestis,Karnezis,O. Karnezis,Greece,28,1985-07-11T00:00:00.000Z,Greece,Athina,Goalkeeper,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19129.png,189,79,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,EAA1B391-B43A-425F-A480-C1FD07624C67,5E38E41F-AD6D-4A2D-8CA1-23E3D2DD583E,Player
Georgios,Samaras,G. Samaras,Greece,29,1985-02-21T00:00:00.000Z,Greece,Heraklion,Attacker,Both,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2862.png,193,82,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,024C5AEE-5494-4CF9-937D-6905AA194028,9995CA60-7C99-4519-BE6F-20D938BFD8C9,Player
Theofanis,Gekas,T. Gekas,Greece,34,1980-05-23T00:00:00.000Z,Greece,Larissa,Attacker,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/4478.png,180,71,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,D8715A78-C213-483F-AF47-369334D05C11,DA06D42D-1E92-45B1-A2C6-3C86F29D22F1,Player
Dimitris,Salpingidis,D. Salpingidis,Greece,32,1981-08-18T00:00:00.000Z,Greece,Thessaloniki,Attacker,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19150.png,177,72,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,9A9765EA-9D3B-44F6-BB4C-9315FBD08BFB,35E25D75-A7D6-4387-B1D9-1BD32F80B0E0,Player
Alain Didier,Zokora-Déguy,D. Zokora,Côte d'Ivoire,33,1980-12-14T00:00:00.000Z,Côte d'Ivoire,Abidjan,Midfielder,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2940.png,179,72,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,A8765EE7-113E-4395-87CD-603FFEAFB03E,F15046C2-16CC-4F63-86AA-E7D65B0578D3,Player
Tohouri Zahoui Constant,Djakpa,C. Djakpa,Côte d'Ivoire,27,1986-10-17T00:00:00.000Z,Côte d'Ivoire,Abidjan,Defender,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/12956.png,177,74,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,2068F11B-2CFD-4AA0-A674-B7E08230EFF4,D5FFC419-5EEB-4E03-887F-BAFFF1AD854A,Player
Gnégnéri Yaya,Touré,Y. Touré,Côte d'Ivoire,31,1983-05-13T00:00:00.000Z,Côte d'Ivoire,Bouaké,Midfielder,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/4496.png,191,90,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,E2951B6F-60EA-4ACE-BC4F-1967FEFB82EE,77E905B1-5181-4286-9B32-6AB99B90A666,Player
Stefan,de Vrij,S. de Vrij,Netherlands,22,1992-02-05T00:00:00.000Z,Netherlands,Ouderkerk aan den IJssel,Defender,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/102880.png,188,78,1,0,0,0,FB6842E6-BB62-450D-98C0-A062610E6518,717B6300-CFC2-4B64-8FF5-86DB61B5C310,C5375BDB-1C79-4607-8930-F5F2C70DBBC1,Player
Jasper,Cillessen,J. Cillessen,Netherlands,25,1989-04-22T00:00:00.000Z,Netherlands,Groesbeek,Goalkeeper,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/137206.png,187,82,0,0,0,0,FB6842E6-BB62-450D-98C0-A062610E6518,3F577501-4006-416E-8095-EEA5A6734EBD,F3D39580-C213-4C78-89ED-BC220A2544B0,Player
Allan Romeo,Nyom,A. Nyom,Cameroon,26,1988-05-10T00:00:00.000Z,France,Neulli-sur-Seine,Defender,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/44285.png,186,81,0,0,0,0,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,EAA1B391-B43A-425F-A480-C1FD07624C67,5D11994B-C451-461D-8310-451B3E4A2B55,Player
Arthur Etienne,Boka,A. Boka,Côte d'Ivoire,31,1983-04-02T00:00:00.000Z,Côte d'Ivoire,Abidjan,Defender,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5134.png,166,67,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,08338D4A-A96A-4F6B-A888-6F11469F3DCE,EE465E44-9C2C-4644-BAC5-218A5A2D88D2,Player
Didier Yves,Drogba Tébily,D. Drogba,Côte d'Ivoire,36,1978-03-11T00:00:00.000Z,Côte d'Ivoire,Abidjan,Attacker,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/310.png,189,91,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,1C3D78B8-67B7-4B2B-A474-94A221B82394,E81168E1-EE95-455E-A8F5-A53CD63DE6D4,Player
Panagiotis,Tachtsidis,P. Tachtsidis,Greece,23,1991-02-15T00:00:00.000Z,Greece,Nafplio,Midfielder,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/66306.png,190,86,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,,F5414941-A663-4AAB-8058-45A8B2A6F0CE,Player
Andreas,Samaris,A. Samaris,Greece,25,1989-06-13T00:00:00.000Z,Greece,Midfielder,,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/121264.png,,,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,2CEE6638-B9D2-45FA-9209-193AF210BDBE,CED23920-FD8D-4226-A880-09F85024A4BB,Player
Giannis,Maniatis,G. Maniatis,Greece,27,1986-10-12T00:00:00.000Z,Greece,Livadeia,Midfielder,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/39123.png,177,71,0,0,0,0,38C4D44E-CDA3-40E2-8364-DA27CC190C52,2CEE6638-B9D2-45FA-9209-193AF210BDBE,ACF9E29A-6585-4908-A363-B92637068BD4,Player
Jean-Daniel,Akpa Akpro,J. Akpa Akpro,Côte d'Ivoire,21,1992-10-11T00:00:00.000Z,France,Toulouse,Defender,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/199419.png,180,68,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,BACDD01C-D85D-4DA0-BAC5-C13F321CBA63,88754721-9DFF-4A63-AA67-1B51220C36F6,Player
Tim,Krul,T. Krul,Netherlands,26,1988-04-03T00:00:00.000Z,Netherlands,Den Haag,Goalkeeper,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5256.png,188,75,0,0,0,0,FB6842E6-BB62-450D-98C0-A062610E6518,60F8CE90-9649-46E8-8EB1-67FCB8EF5B89,4C9F5776-A951-41D0-BD80-5A38774B7462,Player
Giovanni-Guy Yann,Sio,G. Sio,Côte d'Ivoire,25,1989-03-31T00:00:00.000Z,France,Saint-Sébastien-sur-Loire,Attacker,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/61062.png,181,77,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,EA1CAAB3-1BBB-4C16-AF44-9C3A3DDBC447,E8CF8A27-ABEF-490E-BE1D-5FE56754A63E,Player
Guelassiognon Sylvain,Gbohouo,S. Gbohouo,Côte d'Ivoire,25,1988-10-29T00:00:00.000Z,Côte d'Ivoire,Goalkeeper,,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/289326.png,,,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,5029A7F6-0358-4C24-8410-797E23E2F735,4C1CA270-88C7-4139-87B1-864BB5C1CBE5,Player
Michel,Vorm,M. Vorm,Netherlands,30,1983-10-20T00:00:00.000Z,Netherlands,Nieuwegein,Goalkeeper,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2476.png,183,84,0,0,0,0,FB6842E6-BB62-450D-98C0-A062610E6518,0BB5DF66-A25B-42FE-9F58-C120F9B8328F,8FB618B8-D3EA-4158-8D48-2C84C6CA5439,Player
Mandé,Sayouba,M. Sayouba,Côte d'Ivoire,20,1993-06-15T00:00:00.000Z,Côte d'Ivoire,Abidjan,Goalkeeper,Right,http://cache.images.globalsportsmedia.com/soccer/players/150x150/236511.png,193,82,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,570126BD-3A4C-4342-98B4-75CEF6D0913B,B536CD0D-C0B5-4454-9A75-BC3439025960,Player
Mathis Gazoa,Kippersund Bolly,M. Bolly,Côte d'Ivoire,23,1990-11-14T00:00:00.000Z,Norway,Oslo,Attacker,Both,http://cache.images.globalsportsmedia.com/soccer/players/150x150/75751.png,185,77,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,6C8D842A-302D-4C7A-BFEC-D8668B7F9658,34574CD3-762F-4633-BED9-6DE541B59BE3,Player
Wesley,Sneijder,W. Sneijder,Netherlands,30,1984-06-09T00:00:00.000Z,Netherlands,Utrecht,Midfielder,Both,http://cache.images.globalsportsmedia.com/soccer/players/150x150/34.png,170,67,0,0,0,1,FB6842E6-BB62-450D-98C0-A062610E6518,1C3D78B8-67B7-4B2B-A474-94A221B82394,10AF08FA-883F-417C-9F1E-4D5DF95E1A74,Player
Terence,Kongolo,T. Kongolo,Netherlands,20,1994-02-14T00:00:00.000Z,Switzerland,Fribourg,Defender,Left,http://cache.images.globalsportsmedia.com/soccer/players/150x150/161296.png,183,70,0,0,0,0,FB6842E6-BB62-450D-98C0-A062610E6518,717B6300-CFC2-4B64-8FF5-86DB61B5C310,C2452EF0-A566-4302-A4B9-FD138422E8F8,Player
Ousmane,Viera Diarrassouba,O. Viera,Côte d'Ivoire,27,1986-12-21T00:00:00.000Z,Côte d'Ivoire,Defender,,,http://cache.images.globalsportsmedia.com/soccer/players/150x150/65929.png,,,0,0,0,0,6B2A7C79-3758-421C-8967-7ABFE1FDC982,9423983A-FCD0-4534-AF01-B59ADD8FFDF8,40008F8F-2D47-4F33-8983-02D7D101D13D,Player
